day|3,experiment|magazine,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.008,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.011,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.015,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.017,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,0.419,lever_out,lever_out,,,ID:food|,1
1,output_deactivated,0.516,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.026,lever_out,lever_out,,,ID:speaker|,1
1,tone_start_pellet_tone,2.035,lever_out_pt2,lever_out_pt2,,,ID:speaker|,1
1,pellet_dispense_dispenser,3.02,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,1
1,tone_stop_pellet_tone,3.04,lever_out_pt2,lever_out_pt2,,,ID:speaker|,1
1,lever_retracted_food,4.516,lever_out_pt2,ITI,,,ID:food|,1
1,pellet_retrieved,8.233,lever_out_pt2,ITI,5.213,,,1
1,pellet_retrieved,8.234,ITI,ITI,,,ID:event_LED|,1
1,output_activated,8.235,ITI,ITI,,,ID:event_LED|,1
1,output_deactivated,8.586,ITI,ITI,,,ID:event_LED|,1
2,new_round,60.123,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,60.137,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,60.138,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,60.537,lever_out,lever_out,,,ID:food|,2
2,output_deactivated,60.639,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,61.145,lever_out,lever_out,,,ID:speaker|,2
2,tone_start_pellet_tone,62.155,lever_out_pt2,lever_out_pt2,,,ID:speaker|,2
2,tone_stop_pellet_tone,63.16,lever_out_pt2,lever_out_pt2,,,ID:speaker|,2
2,pellet_dispense_dispenser,63.48,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,2
2,lever_retracted_food,64.632,ITI,ITI,,,ID:food|,2
2,pellet_retrieved,71.701,lever_out_pt2,ITI,8.22,,,2
2,pellet_retrieved,71.702,ITI,ITI,,,ID:event_LED|,2
2,output_activated,71.704,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,72.056,ITI,ITI,,,ID:event_LED|,2
3,new_round,120.238,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,120.254,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,120.26,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,120.65,lever_out,lever_out,,,ID:food|,3
3,output_deactivated,120.755,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,121.266,lever_out,lever_out,,,ID:speaker|,3
3,tone_start_pellet_tone,122.28,lever_out_pt2,lever_out_pt2,,,ID:speaker|,3
3,pellet_dispense_dispenser,123.143,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,3
3,tone_stop_pellet_tone,123.285,lever_out_pt2,lever_out_pt2,,,ID:speaker|,3
3,lever_retracted_food,124.738,ITI,ITI,,,ID:food|,3
3,pellet_retrieved,136.225,lever_out_pt2,ITI,13.082,,,3
3,pellet_retrieved,136.226,ITI,ITI,,,ID:event_LED|,3
3,output_activated,136.227,ITI,ITI,,,ID:event_LED|,3
3,output_deactivated,136.578,ITI,ITI,,,ID:event_LED|,3
4,new_round,180.353,lever_out,lever_out,,,ID:round_LED|,4
4,tone_start_round_start,180.367,lever_out,lever_out,,,ID:speaker|,4
4,output_activated,180.367,lever_out,lever_out,,,ID:round_LED|,4
4,lever_extended_food,180.74,lever_out,lever_out,,,ID:food|,4
4,output_deactivated,180.868,lever_out,lever_out,,,ID:round_LED|,4
4,tone_stop_round_start,181.371,lever_out,lever_out,,,ID:speaker|,4
4,pellet_not_retrieved_dispenser,182.355,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,4
4,pellet_skipped_dispenser,182.355,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,4
4,tone_start_pellet_tone,182.383,lever_out_pt2,lever_out_pt2,,,ID:speaker|,4
4,tone_stop_pellet_tone,183.388,lever_out_pt2,lever_out_pt2,,,ID:speaker|,4
4,lever_retracted_food,184.864,ITI,ITI,,,ID:food|,4
5,new_round,240.467,lever_out,lever_out,,,ID:round_LED|,5
5,output_activated,240.468,lever_out,lever_out,,,ID:round_LED|,5
5,tone_start_round_start,240.477,lever_out,lever_out,,,ID:speaker|,5
5,lever_extended_food,240.857,lever_out,lever_out,,,ID:food|,5
5,output_deactivated,240.97,lever_out,lever_out,,,ID:round_LED|,5
5,tone_stop_round_start,241.481,lever_out,lever_out,,,ID:speaker|,5
5,tone_start_pellet_tone,242.493,lever_out_pt2,lever_out_pt2,,,ID:speaker|,5
5,pellet_dispense_dispenser,243.372,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,5
5,tone_stop_pellet_tone,243.497,lever_out_pt2,lever_out_pt2,,,ID:speaker|,5
5,lever_retracted_food,244.968,ITI,ITI,,,ID:food|,5
5,pellet_retrieved,246.078,lever_out_pt2,ITI,2.706,,,5
5,pellet_retrieved,246.079,ITI,ITI,,,ID:event_LED|,5
5,output_activated,246.08,ITI,ITI,,,ID:event_LED|,5
5,output_deactivated,246.432,ITI,ITI,,,ID:event_LED|,5
6,new_round,300.573,lever_out,lever_out,,,ID:round_LED|,6
6,tone_start_round_start,300.581,lever_out,lever_out,,,ID:speaker|,6
6,output_activated,300.592,lever_out,lever_out,,,ID:round_LED|,6
6,lever_extended_food,300.989,lever_out,lever_out,,,ID:food|,6
6,output_deactivated,301.094,lever_out,lever_out,,,ID:round_LED|,6
6,tone_stop_round_start,301.596,lever_out,lever_out,,,ID:speaker|,6
6,tone_start_pellet_tone,302.609,lever_out_pt2,lever_out_pt2,,,ID:speaker|,6
6,pellet_dispense_dispenser,302.927,lever_out_pt2,lever_out_pt2,,,ID:dispenser|,6
6,pellet_retrieved,302.978,lever_out_pt2,lever_out_pt2,0.051,,,6
6,pellet_retrieved,302.979,lever_out_pt2,lever_out_pt2,,,ID:event_LED|,6
6,output_activated,302.981,lever_out_pt2,lever_out_pt2,,,ID:event_LED|,6
6,output_deactivated,303.332,lever_out_pt2,lever_out_pt2,,,ID:event_LED|,6
6,tone_stop_pellet_tone,303.613,lever_out_pt2,lever_out_pt2,,,ID:speaker|,6
6,lever_retracted_food,305.082,ITI,ITI,,,ID:food|,6
7,new_round,360.68,lever_out,lever_out,,,ID:round_LED|,7
7,tone_start_round_start,360.687,lever_out,lever_out,,,ID:speaker|,7
7,output_activated,360.693,lever_out,lever_out,,,ID:round_LED|,7
7,lever_extended_food,361.069,lever_out,lever_out,,,ID:food|,7
