FR|1,day|1,experiment|autotrain,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|4678,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.004,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.007,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.009,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.016,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,0.511,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.021,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,1.914,lever_out,lever_out,,,ID:food|,1
1,tone_start_pellet_tone,60.046,ITI,ITI,,,ID:speaker|,1
1,lever_retracted_food,60.482,lever_out,ITI,,,ID:food|,1
1,pellet_dispense_dispenser,60.745,ITI,ITI,,,ID:dispenser|,1
1,tone_stop_pellet_tone,61.051,ITI,ITI,,,ID:speaker|,1
1,pellet_retrieved,67.562,ITI,ITI,6.816,,,1
1,pellet_retrieved,67.563,ITI,ITI,,,ID:event_LED|,1
1,output_activated,67.564,ITI,ITI,,,ID:event_LED|,1
1,output_deactivated,68.267,ITI,ITI,,,ID:event_LED|,1
2,new_round,90.046,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,90.047,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,90.071,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,90.549,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,91.075,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,91.929,lever_out,lever_out,,,ID:food|,2
2,tone_start_pellet_tone,150.058,ITI,ITI,,,ID:speaker|,2
2,lever_retracted_food,150.523,ITI,ITI,,,ID:food|,2
2,pellet_dispense_dispenser,150.986,ITI,ITI,,,ID:dispenser|,2
2,tone_stop_pellet_tone,151.085,ITI,ITI,,,ID:speaker|,2
2,pellet_retrieved,154.094,ITI,ITI,3.108,,,2
2,pellet_retrieved,154.095,ITI,ITI,,,ID:event_LED|,2
2,output_activated,154.095,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,154.797,ITI,ITI,,,ID:event_LED|,2
3,new_round,180.067,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,180.068,lever_out,lever_out,,,ID:round_LED|,3
