FR|1,day|1,experiment|autotrain_contingent,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5116,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.004,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.006,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.008,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.015,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,0.51,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.019,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,1.906,lever_out,lever_out,,,ID:food|,1
1,lever_press_food,20.769,lever_out,lever_out,,,ID:event_LED|,1
1,lever_pressed_food,20.769,lever_out,lever_out,,,ID:food|total_presses:1|,1
1,lever_extended_food_|_lever_pressed_food,20.77,lever_out,lever_out,19.253,,n_presses:1|,1
1,presses_reached_food,20.77,lever_out,lever_out,19.253,,n_presses:1|,1
1,output_activated,20.771,lever_out,lever_out,,,ID:event_LED|,1
1,tone_start_pellet_tone,20.818,ITI,ITI,,,ID:speaker|,1
1,output_deactivated,21.122,ITI,ITI,,,ID:event_LED|,1
1,lever_retracted_food,21.265,lever_out,ITI,,,ID:food|,1
1,tone_stop_pellet_tone,21.821,ITI,ITI,,,ID:speaker|,1
1,pellet_dispense_dispenser,23.231,ITI,ITI,,,ID:dispenser|,1
1,pellet_retrieved,24.134,ITI,ITI,0.902,,,1
1,pellet_retrieved,24.135,ITI,ITI,,,ID:event_LED|,1
1,output_activated,24.136,ITI,ITI,,,ID:event_LED|,1
1,output_deactivated,24.838,ITI,ITI,,,ID:event_LED|,1
2,new_round,50.777,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,50.779,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,50.795,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,51.28,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,51.799,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,52.685,lever_out,lever_out,,,ID:food|,2
2,lever_pressed_food,63.444,lever_out,lever_out,,,ID:food|total_presses:2|,2
2,lever_extended_food_|_lever_pressed_food,63.444,lever_out,lever_out,11.158,,n_presses:1|,2
2,presses_reached_food,63.444,lever_out,lever_out,11.159,,n_presses:1|,2
2,lever_press_food,63.445,lever_out,lever_out,,,ID:event_LED|,2
2,output_activated,63.46,ITI,ITI,,,ID:event_LED|,2
2,tone_start_pellet_tone,63.473,ITI,ITI,,,ID:speaker|,2
2,output_deactivated,63.818,ITI,ITI,,,ID:event_LED|,2
2,lever_retracted_food,64.01,ITI,ITI,,,ID:food|,2
2,tone_stop_pellet_tone,64.479,ITI,ITI,,,ID:speaker|,2
2,pellet_dispense_dispenser,64.571,ITI,ITI,,,ID:dispenser|,2
2,pellet_retrieved,66.927,ITI,ITI,2.356,,,2
2,pellet_retrieved,66.928,ITI,ITI,,,ID:event_LED|,2
2,output_activated,66.929,ITI,ITI,,,ID:event_LED|,2
2,output_deactivated,67.63,ITI,ITI,,,ID:event_LED|,2
3,new_round,93.452,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,93.454,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,93.463,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,93.956,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,94.468,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,95.357,lever_out,lever_out,,,ID:food|,3
3,lever_retracted_food,153.903,ITI,ITI,,,ID:food|,3
4,new_round,183.457,lever_out,lever_out,,,ID:round_LED|,4
4,output_activated,183.46,lever_out,lever_out,,,ID:round_LED|,4
4,tone_start_round_start,183.477,lever_out,lever_out,,,ID:speaker|,4
4,output_deactivated,183.961,lever_out,lever_out,,,ID:round_LED|,4
4,tone_stop_round_start,184.481,lever_out,lever_out,,,ID:speaker|,4
4,lever_extended_food,185.343,lever_out,lever_out,,,ID:food|,4
4,lever_pressed_food,192.47,lever_out,lever_out,,,ID:food|total_presses:3|,4
4,lever_extended_food_|_lever_pressed_food,192.47,lever_out,lever_out,7.505,,n_presses:1|,4
4,presses_reached_food,192.47,lever_out,lever_out,7.505,,n_presses:1|,4
4,lever_press_food,192.47,lever_out,lever_out,,,ID:event_LED|,4
4,output_activated,192.483,ITI,ITI,,,ID:event_LED|,4
4,tone_start_pellet_tone,192.511,ITI,ITI,,,ID:speaker|,4
4,output_deactivated,192.835,ITI,ITI,,,ID:event_LED|,4
4,lever_retracted_food,192.967,ITI,ITI,,,ID:food|,4
4,pellet_dispense_dispenser,193.439,ITI,ITI,,,ID:dispenser|,4
4,tone_stop_pellet_tone,193.516,ITI,ITI,,,ID:speaker|,4
4,pellet_retrieved,194.041,ITI,ITI,0.602,,,4
4,pellet_retrieved,194.042,ITI,ITI,,,ID:event_LED|,4
4,output_activated,194.043,ITI,ITI,,,ID:event_LED|,4
4,output_deactivated,194.744,ITI,ITI,,,ID:event_LED|,4
5,new_round,222.483,lever_out,lever_out,,,ID:round_LED|,5
5,output_activated,222.485,lever_out,lever_out,,,ID:round_LED|,5
5,tone_start_round_start,222.509,lever_out,lever_out,,,ID:speaker|,5
5,output_deactivated,222.987,lever_out,lever_out,,,ID:round_LED|,5
5,tone_stop_round_start,223.514,lever_out,lever_out,,,ID:speaker|,5
5,lever_extended_food,224.389,lever_out,lever_out,,,ID:food|,5
5,lever_retracted_food,282.936,ITI,ITI,,,ID:food|,5
6,new_round,312.488,lever_out,lever_out,,,ID:round_LED|,6
6,output_activated,312.489,lever_out,lever_out,,,ID:round_LED|,6
6,tone_start_round_start,312.528,lever_out,lever_out,,,ID:speaker|,6
6,output_deactivated,312.991,lever_out,lever_out,,,ID:round_LED|,6
6,tone_stop_round_start,313.532,lever_out,lever_out,,,ID:speaker|,6
6,lever_extended_food,314.368,lever_out,lever_out,,,ID:food|,6
6,lever_retracted_food,372.933,ITI,ITI,,,ID:food|,6
7,new_round,402.493,lever_out,lever_out,,,ID:round_LED|,7
7,output_activated,402.494,lever_out,lever_out,,,ID:round_LED|,7
7,tone_start_round_start,402.54,lever_out,lever_out,,,ID:speaker|,7
