FR|1,day|1,delay|0,experiment|door_train,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5116,vole_2|5047
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.002,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.041,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.403,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.428,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.45,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_lever_1,0.744,setup_phase,setup_phase,,,ID:lever_1|,0
0,lever_retracted_food,0.745,setup_phase,setup_phase,,,ID:food|,0
0,lever_retracted_lever_2,0.752,setup_phase,setup_phase,,,ID:lever_2|,0
1,new_round,0.959,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.962,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,0.965,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.464,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.969,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.87,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,tone_start_door_1_open,60.969,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_retracted_lever_2,61.416,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,open_start_door_1,61.971,reward_phase,reward_phase,,,ID:door_1|,1
1,tone_stop_door_1_open,61.974,reward_phase,reward_phase,,,ID:speaker|,1
1,open_finished_door_1,63.576,reward_phase,reward_phase,,,ID:door_1|,1
1,close_start_door_1,121.976,reward_phase,reward_phase,,,ID:door_1|,1
1,close_finished_door_1,124.034,reward_phase,reward_phase,,,ID:door_1|,1
1,output_activated,124.039,reward_phase,reward_phase,,,ID:round_LED|,1
1,output_deactivated,126.195,reward_phase,reward_phase,,,ID:round_LED|,1
2,new_round,171.204,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,output_activated,171.206,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,tone_start_round_start,171.214,lever_2_out,lever_2_out,,,ID:speaker|,2
2,output_deactivated,171.708,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,tone_stop_round_start,172.219,lever_2_out,lever_2_out,,,ID:speaker|,2
2,lever_extended_lever_2,173.111,lever_2_out,lever_2_out,,,ID:lever_2|,2
2,tone_start_door_1_open,231.232,lever_2_out,lever_2_out,,,ID:speaker|,2
2,lever_retracted_lever_2,231.661,lever_2_out,lever_2_out,,,ID:lever_2|,2
2,open_start_door_1,232.218,reward_phase,reward_phase,,,ID:door_1|,2
2,tone_stop_door_1_open,232.237,reward_phase,reward_phase,,,ID:speaker|,2
2,open_finished_door_1,233.823,reward_phase,reward_phase,,,ID:door_1|,2
2,door_1_open_|_beam_broken_door1_ir,276.49,reward_phase,reward_phase,44.275,,beam_ID:door1_ir|,2
2,beam_broken_door1_ir,276.49,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,276.675,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,282.526,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,284.282,reward_phase,reward_phase,,,ID:door1_ir|,2
2,close_start_door_1,292.29,reward_phase,reward_phase,,,ID:door_1|,2
2,close_finished_door_1,294.298,reward_phase,reward_phase,,,ID:door_1|,2
