FR|1,day|2,delay|2,experiment|autotrain_contingent,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5120,vole_2|0
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.003,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.005,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.007,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.036,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,0.509,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.04,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,1.913,lever_out,lever_out,,,ID:food|,1
1,lever_retracted_food,60.459,lever_out,ITI,,,ID:food|,1
2,new_round,90.019,ITI,ITI,,,ID:round_LED|,2
2,output_activated,90.021,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,90.026,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,90.523,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,91.031,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,91.93,lever_out,lever_out,,,ID:food|,2
2,lever_retracted_food,150.477,ITI,ITI,,,ID:food|,2
3,new_round,180.03,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,180.032,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,180.071,lever_out,lever_out,,,ID:speaker|,3
3,output_deactivated,180.534,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,181.075,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,181.937,lever_out,lever_out,,,ID:food|,3
3,lever_retracted_food,240.485,ITI,ITI,,,ID:food|,3
4,new_round,270.038,lever_out,lever_out,,,ID:round_LED|,4
4,output_activated,270.04,lever_out,lever_out,,,ID:round_LED|,4
4,tone_start_round_start,270.082,lever_out,lever_out,,,ID:speaker|,4
4,output_deactivated,270.542,lever_out,lever_out,,,ID:round_LED|,4
4,tone_stop_round_start,271.087,lever_out,lever_out,,,ID:speaker|,4
4,lever_extended_food,271.946,lever_out,lever_out,,,ID:food|,4
4,lever_pressed_food,288.256,lever_out,lever_out,,,ID:food|total_presses:1|,4
4,lever_extended_food_|_lever_pressed_food,288.256,lever_out,lever_out,16.709,,n_presses:1|,4
4,presses_reached_food,288.256,lever_out,lever_out,16.709,,n_presses:1|,4
4,lever_press_food,288.257,lever_out,lever_out,,,ID:event_LED|,4
4,output_activated,288.26,lever_out,lever_out,,,ID:event_LED|,4
4,tone_start_pellet_tone,288.279,lever_out,lever_out,,,ID:speaker|,4
4,output_deactivated,288.611,lever_out,lever_out,,,ID:event_LED|,4
4,lever_retracted_food,288.864,lever_out,lever_out,,,ID:food|,4
4,tone_stop_pellet_tone,289.285,lever_out,lever_out,,,ID:speaker|,4
4,pellet_dispense_dispenser,292.523,ITI,ITI,,,ID:dispenser|,4
4,pellet_retrieved,320.138,ITI,ITI,27.615,,,4
4,pellet_retrieved,320.139,ITI,ITI,,,ID:event_LED|,4
4,output_activated,320.141,ITI,ITI,,,ID:event_LED|,4
5,new_round,320.272,lever_out,lever_out,,,ID:round_LED|,5
5,output_activated,320.274,lever_out,lever_out,,,ID:round_LED|,5
5,tone_start_round_start,320.292,lever_out,lever_out,,,ID:speaker|,5
5,output_deactivated,320.775,lever_out,lever_out,,,ID:round_LED|,5
5,output_deactivated,320.843,lever_out,lever_out,,,ID:event_LED|,5
5,tone_stop_round_start,321.296,lever_out,lever_out,,,ID:speaker|,5
5,lever_extended_food,322.18,lever_out,lever_out,,,ID:food|,5
5,lever_retracted_food,380.728,ITI,ITI,,,ID:food|,5
6,new_round,410.28,lever_out,lever_out,,,ID:round_LED|,6
6,output_activated,410.281,lever_out,lever_out,,,ID:round_LED|,6
6,tone_start_round_start,410.31,lever_out,lever_out,,,ID:speaker|,6
6,output_deactivated,410.783,lever_out,lever_out,,,ID:round_LED|,6
6,tone_stop_round_start,411.314,lever_out,lever_out,,,ID:speaker|,6
6,lever_extended_food,412.187,lever_out,lever_out,,,ID:food|,6
6,lever_retracted_food,470.734,ITI,ITI,,,ID:food|,6
7,new_round,500.286,lever_out,lever_out,,,ID:round_LED|,7
7,output_activated,500.287,lever_out,lever_out,,,ID:round_LED|,7
7,tone_start_round_start,500.317,lever_out,lever_out,,,ID:speaker|,7
7,output_deactivated,500.789,lever_out,lever_out,,,ID:round_LED|,7
7,tone_stop_round_start,501.321,lever_out,lever_out,,,ID:speaker|,7
7,lever_extended_food,502.193,lever_out,lever_out,,,ID:food|,7
7,lever_retracted_food,560.74,ITI,ITI,,,ID:food|,7
8,new_round,590.298,lever_out,lever_out,,,ID:round_LED|,8
8,output_activated,590.299,lever_out,lever_out,,,ID:round_LED|,8
8,tone_start_round_start,590.309,lever_out,lever_out,,,ID:speaker|,8
8,output_deactivated,590.801,lever_out,lever_out,,,ID:round_LED|,8
8,tone_stop_round_start,591.313,lever_out,lever_out,,,ID:speaker|,8
8,lever_extended_food,592.206,lever_out,lever_out,,,ID:food|,8
8,lever_retracted_food,650.75,ITI,ITI,,,ID:food|,8
9,new_round,680.303,lever_out,lever_out,,,ID:round_LED|,9
9,output_activated,680.305,lever_out,lever_out,,,ID:round_LED|,9
9,tone_start_round_start,680.335,lever_out,lever_out,,,ID:speaker|,9
9,output_deactivated,680.807,lever_out,lever_out,,,ID:round_LED|,9
9,tone_stop_round_start,681.34,lever_out,lever_out,,,ID:speaker|,9
9,lever_extended_food,682.208,lever_out,lever_out,,,ID:food|,9
9,lever_retracted_food,740.761,ITI,ITI,,,ID:food|,9
