FR|1,day|1,delay|0,experiment|door_train_contingent,output_path|/home/pi/miniscope_operant_dec_2022/output/,title|nan,vole|5120,vole_2|5048
round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.003,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.056,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.198,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.235,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.332,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_food,0.781,setup_phase,setup_phase,,,ID:food|,0
0,lever_retracted_lever_1,0.798,setup_phase,setup_phase,,,ID:lever_1|,0
0,lever_retracted_lever_2,0.819,setup_phase,setup_phase,,,ID:lever_2|,0
1,new_round,0.836,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.84,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,0.889,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,1.341,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.894,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_extended_lever_2,2.749,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,lever_retracted_lever_2,61.291,ITI,ITI,,,ID:lever_2|,1
2,new_round,105.848,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,output_activated,105.85,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,tone_start_round_start,105.895,lever_2_out,lever_2_out,,,ID:speaker|,2
2,output_deactivated,106.352,lever_2_out,lever_2_out,,,ID:round_LED|,2
2,tone_stop_round_start,106.9,lever_2_out,lever_2_out,,,ID:speaker|,2
2,lever_extended_lever_2,107.756,lever_2_out,lever_2_out,,,ID:lever_2|,2
2,lever_pressed_lever_2,133.59,lever_2_out,lever_2_out,,,ID:lever_2|total_presses:1|,2
2,lever_extended_lever_2_|_lever_pressed_lever_2,133.59,lever_2_out,lever_2_out,26.233,,n_presses:1|,2
2,presses_reached_lever_2,133.59,lever_2_out,lever_2_out,26.233,,n_presses:1|,2
2,lever_press,133.592,lever_2_out,lever_2_out,,,ID:event_LED|,2
2,output_activated,133.594,lever_2_out,lever_2_out,,,ID:event_LED|,2
2,tone_start_door_1_open,133.597,lever_2_out,lever_2_out,,,ID:speaker|,2
2,output_deactivated,133.946,lever_2_out,lever_2_out,,,ID:event_LED|,2
2,open_start_door_1,134.601,reward_phase,reward_phase,,,ID:door_1|,2
2,tone_stop_door_1_open,134.604,reward_phase,reward_phase,,,ID:speaker|,2
2,lever_retracted_lever_2,134.744,lever_2_out,reward_phase,,,ID:lever_2|,2
2,open_finished_door_1,136.206,reward_phase,reward_phase,,,ID:door_1|,2
2,door_1_open_|_beam_broken_door1_ir,140.085,reward_phase,reward_phase,5.486,,beam_ID:door1_ir|,2
2,beam_broken_door1_ir,140.085,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,145.467,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,146.857,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,146.918,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,146.987,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,147.059,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,181.794,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,185.423,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_broken_door1_ir,185.454,reward_phase,reward_phase,,,ID:door1_ir|,2
2,beam_unbroken_door1_ir,185.488,reward_phase,reward_phase,,,ID:door1_ir|,2
2,close_start_door_1,194.658,reward_phase,reward_phase,,,ID:door_1|,2
2,close_finished_door_1,196.466,reward_phase,reward_phase,,,ID:door_1|,2
2,output_activated,196.468,reward_phase,reward_phase,,,ID:round_LED|,2
2,output_deactivated,197.272,reward_phase,reward_phase,,,ID:round_LED|,2
3,new_round,242.28,lever_2_out,lever_2_out,,,ID:round_LED|,3
3,output_activated,242.282,lever_2_out,lever_2_out,,,ID:round_LED|,3
3,tone_start_round_start,242.311,lever_2_out,lever_2_out,,,ID:speaker|,3
3,output_deactivated,242.784,lever_2_out,lever_2_out,,,ID:round_LED|,3
3,tone_stop_round_start,243.316,lever_2_out,lever_2_out,,,ID:speaker|,3
3,lever_extended_lever_2,244.185,lever_2_out,lever_2_out,,,ID:lever_2|,3
3,lever_pressed_lever_2,255.406,lever_2_out,lever_2_out,,,ID:lever_2|total_presses:2|,3
3,lever_extended_lever_2_|_lever_pressed_lever_2,255.406,lever_2_out,lever_2_out,11.617,,n_presses:1|,3
3,presses_reached_lever_2,255.406,lever_2_out,lever_2_out,11.617,,n_presses:1|,3
3,lever_press,255.409,lever_2_out,lever_2_out,,,ID:event_LED|,3
3,output_activated,255.412,lever_2_out,lever_2_out,,,ID:event_LED|,3
3,tone_start_door_1_open,255.45,lever_2_out,lever_2_out,,,ID:speaker|,3
3,output_deactivated,255.764,lever_2_out,lever_2_out,,,ID:event_LED|,3
3,lever_retracted_lever_2,255.915,lever_2_out,lever_2_out,,,ID:lever_2|,3
3,open_start_door_1,256.42,reward_phase,reward_phase,,,ID:door_1|,3
3,tone_stop_door_1_open,256.456,reward_phase,reward_phase,,,ID:speaker|,3
3,open_finished_door_1,258.025,reward_phase,reward_phase,,,ID:door_1|,3
3,door_1_open_|_beam_broken_door1_ir,261.546,reward_phase,reward_phase,5.129,,beam_ID:door1_ir|,3
3,beam_broken_door1_ir,261.546,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,262.102,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,264.037,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,265.003,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,265.981,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,266.013,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,266.138,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,266.195,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,266.362,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,266.905,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,267.034,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,267.386,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,286.347,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,286.447,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,287.023,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,288.643,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,288.684,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,288.704,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_broken_door1_ir,293.287,reward_phase,reward_phase,,,ID:door1_ir|,3
3,beam_unbroken_door1_ir,295.046,reward_phase,reward_phase,,,ID:door1_ir|,3
3,close_start_door_1,316.482,reward_phase,reward_phase,,,ID:door_1|,3
3,close_finished_door_1,318.289,reward_phase,reward_phase,,,ID:door_1|,3
3,output_activated,318.294,reward_phase,reward_phase,,,ID:round_LED|,3
3,output_deactivated,334.582,reward_phase,reward_phase,,,ID:round_LED|,3
4,new_round,379.589,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,output_activated,379.59,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,tone_start_round_start,379.61,lever_2_out,lever_2_out,,,ID:speaker|,4
4,output_deactivated,380.092,lever_2_out,lever_2_out,,,ID:round_LED|,4
4,tone_stop_round_start,380.614,lever_2_out,lever_2_out,,,ID:speaker|,4
4,lever_extended_lever_2,381.469,lever_2_out,lever_2_out,,,ID:lever_2|,4
4,lever_retracted_lever_2,440.046,ITI,ITI,,,ID:lever_2|,4
5,new_round,484.603,lever_1_out,lever_1_out,,,ID:round_LED|,5
5,output_activated,484.604,lever_1_out,lever_1_out,,,ID:round_LED|,5
5,tone_start_round_start,484.634,lever_1_out,lever_1_out,,,ID:speaker|,5
5,output_deactivated,485.107,lever_1_out,lever_1_out,,,ID:round_LED|,5
5,tone_stop_round_start,485.639,lever_1_out,lever_1_out,,,ID:speaker|,5
5,lever_extended_lever_1,486.511,lever_1_out,lever_1_out,,,ID:lever_1|,5
5,lever_pressed_lever_1,493.877,lever_1_out,lever_1_out,,,ID:lever_1|total_presses:1|,5
5,lever_extended_lever_1_|_lever_pressed_lever_1,493.878,lever_1_out,lever_1_out,7.767,,n_presses:1|,5
5,presses_reached_lever_1,493.878,lever_1_out,lever_1_out,7.767,,n_presses:1|,5
5,lever_press,493.879,lever_1_out,lever_1_out,,,ID:event_LED|,5
5,output_activated,493.882,lever_1_out,lever_1_out,,,ID:event_LED|,5
5,tone_start_door_2_open,493.888,lever_1_out,lever_1_out,,,ID:speaker|,5
5,output_deactivated,494.234,lever_1_out,lever_1_out,,,ID:event_LED|,5
5,lever_retracted_lever_1,494.535,lever_1_out,lever_1_out,,,ID:lever_1|,5
5,open_start_door_2,494.891,reward_phase,reward_phase,,,ID:door_2|,5
5,tone_stop_door_2_open,494.894,reward_phase,reward_phase,,,ID:speaker|,5
5,open_finished_door_2,496.496,reward_phase,reward_phase,,,ID:door_2|,5
5,door_2_open_|_beam_broken_door2_ir,552.347,reward_phase,reward_phase,57.458,,beam_ID:door2_ir|,5
5,beam_broken_door2_ir,552.347,reward_phase,reward_phase,,,ID:door2_ir|,5
5,beam_unbroken_door2_ir,553.44,reward_phase,reward_phase,,,ID:door2_ir|,5
5,close_start_door_2,554.974,reward_phase,reward_phase,,,ID:door_2|,5
5,close_finished_door_2,556.531,reward_phase,reward_phase,,,ID:door_2|,5
5,output_activated,556.533,reward_phase,reward_phase,,,ID:round_LED|,5
5,output_deactivated,569.911,reward_phase,reward_phase,,,ID:round_LED|,5
6,new_round,614.922,lever_1_out,lever_1_out,,,ID:round_LED|,6
6,output_activated,614.923,lever_1_out,lever_1_out,,,ID:round_LED|,6
6,tone_start_round_start,614.955,lever_1_out,lever_1_out,,,ID:speaker|,6
6,output_deactivated,615.425,lever_1_out,lever_1_out,,,ID:round_LED|,6
6,tone_stop_round_start,615.959,lever_1_out,lever_1_out,,,ID:speaker|,6
6,lever_extended_lever_1,616.8,lever_1_out,lever_1_out,,,ID:lever_1|,6
6,lever_retracted_lever_1,675.379,ITI,ITI,,,ID:lever_1|,6
