,vole1,vole2,day,experiment,metric,value,file
0,4678,0,1,magazine,trigger_count,1,4678_0_11_28_2022___16_7__magazine_day_1.csv
1,4678,0,1,magazine,new_round_count,20,4678_0_11_28_2022___16_7__magazine_day_1.csv
2,4678,0,1,magazine,output_activated_count,38,4678_0_11_28_2022___16_7__magazine_day_1.csv
3,4678,0,1,magazine,tone_start_round_start_count,20,4678_0_11_28_2022___16_7__magazine_day_1.csv
4,4678,0,1,magazine,lever_extended_food_count,20,4678_0_11_28_2022___16_7__magazine_day_1.csv
5,4678,0,1,magazine,output_deactivated_count,39,4678_0_11_28_2022___16_7__magazine_day_1.csv
6,4678,0,1,magazine,tone_stop_round_start_count,20,4678_0_11_28_2022___16_7__magazine_day_1.csv
7,4678,0,1,magazine,tone_start_pellet_tone_count,20,4678_0_11_28_2022___16_7__magazine_day_1.csv
8,4678,0,1,magazine,tone_stop_pellet_tone_count,20,4678_0_11_28_2022___16_7__magazine_day_1.csv
9,4678,0,1,magazine,pellet_dispense_dispenser_count,18,4678_0_11_28_2022___16_7__magazine_day_1.csv
10,4678,0,1,magazine,lever_retracted_food_count,20,4678_0_11_28_2022___16_7__magazine_day_1.csv
11,4678,0,1,magazine,pellet_retrieved_count,36,4678_0_11_28_2022___16_7__magazine_day_1.csv
12,4678,0,1,magazine,pellet_not_retrieved_dispenser_count,1,4678_0_11_28_2022___16_7__magazine_day_1.csv
13,4678,0,1,magazine,pellet_skipped_dispenser_count,1,4678_0_11_28_2022___16_7__magazine_day_1.csv
14,4678,0,1,magazine,pellet_dispense_failure_dispenser_count,1,4678_0_11_28_2022___16_7__magazine_day_1.csv
15,4678,0,1,magazine,pellet_retrieved_latency_mean,11.82456,4678_0_11_28_2022___16_7__magazine_day_1.csv
16,4678,0,1,magazine,pellet_retrieved_latency_median,5.113,4678_0_11_28_2022___16_7__magazine_day_1.csv
0,4678,0,2,magazine,trigger_count,1,4678_0_11_29_2022___13_11__magazine_day_2.csv
1,4678,0,2,magazine,new_round_count,16,4678_0_11_29_2022___13_11__magazine_day_2.csv
2,4678,0,2,magazine,output_activated_count,29,4678_0_11_29_2022___13_11__magazine_day_2.csv
3,4678,0,2,magazine,tone_start_round_start_count,16,4678_0_11_29_2022___13_11__magazine_day_2.csv
4,4678,0,2,magazine,lever_extended_food_count,16,4678_0_11_29_2022___13_11__magazine_day_2.csv
5,4678,0,2,magazine,output_deactivated_count,29,4678_0_11_29_2022___13_11__magazine_day_2.csv
6,4678,0,2,magazine,tone_stop_round_start_count,16,4678_0_11_29_2022___13_11__magazine_day_2.csv
7,4678,0,2,magazine,tone_start_pellet_tone_count,16,4678_0_11_29_2022___13_11__magazine_day_2.csv
8,4678,0,2,magazine,tone_stop_pellet_tone_count,16,4678_0_11_29_2022___13_11__magazine_day_2.csv
9,4678,0,2,magazine,pellet_dispense_dispenser_count,13,4678_0_11_29_2022___13_11__magazine_day_2.csv
10,4678,0,2,magazine,lever_retracted_food_count,16,4678_0_11_29_2022___13_11__magazine_day_2.csv
11,4678,0,2,magazine,pellet_retrieved_count,26,4678_0_11_29_2022___13_11__magazine_day_2.csv
12,4678,0,2,magazine,pellet_not_retrieved_dispenser_count,2,4678_0_11_29_2022___13_11__magazine_day_2.csv
13,4678,0,2,magazine,pellet_skipped_dispenser_count,2,4678_0_11_29_2022___13_11__magazine_day_2.csv
14,4678,0,2,magazine,pellet_dispense_failure_dispenser_count,1,4678_0_11_29_2022___13_11__magazine_day_2.csv
15,4678,0,2,magazine,pellet_retrieved_latency_mean,6.334,4678_0_11_29_2022___13_11__magazine_day_2.csv
16,4678,0,2,magazine,pellet_retrieved_latency_median,4.512,4678_0_11_29_2022___13_11__magazine_day_2.csv
0,4678,0,3,magazine,trigger_count,1,4678_0_11_30_2022___15_7__magazine_day_3.csv
1,4678,0,3,magazine,new_round_count,15,4678_0_11_30_2022___15_7__magazine_day_3.csv
2,4678,0,3,magazine,output_activated_count,29,4678_0_11_30_2022___15_7__magazine_day_3.csv
3,4678,0,3,magazine,tone_start_round_start_count,15,4678_0_11_30_2022___15_7__magazine_day_3.csv
4,4678,0,3,magazine,lever_extended_food_count,15,4678_0_11_30_2022___15_7__magazine_day_3.csv
5,4678,0,3,magazine,output_deactivated_count,30,4678_0_11_30_2022___15_7__magazine_day_3.csv
6,4678,0,3,magazine,tone_stop_round_start_count,15,4678_0_11_30_2022___15_7__magazine_day_3.csv
7,4678,0,3,magazine,tone_start_pellet_tone_count,15,4678_0_11_30_2022___15_7__magazine_day_3.csv
8,4678,0,3,magazine,pellet_dispense_dispenser_count,14,4678_0_11_30_2022___15_7__magazine_day_3.csv
9,4678,0,3,magazine,tone_stop_pellet_tone_count,15,4678_0_11_30_2022___15_7__magazine_day_3.csv
10,4678,0,3,magazine,lever_retracted_food_count,15,4678_0_11_30_2022___15_7__magazine_day_3.csv
11,4678,0,3,magazine,pellet_retrieved_count,28,4678_0_11_30_2022___15_7__magazine_day_3.csv
12,4678,0,3,magazine,pellet_not_retrieved_dispenser_count,1,4678_0_11_30_2022___15_7__magazine_day_3.csv
13,4678,0,3,magazine,pellet_skipped_dispenser_count,1,4678_0_11_30_2022___15_7__magazine_day_3.csv
14,4678,0,3,magazine,pellet_retrieved_latency_mean,7.94757,4678_0_11_30_2022___15_7__magazine_day_3.csv
15,4678,0,3,magazine,pellet_retrieved_latency_median,3.308,4678_0_11_30_2022___15_7__magazine_day_3.csv
0,4678,0,1,autotrain,trigger_count,1,4678_0_12_1_2022___12_49__autotrain_day_1.csv
1,4678,0,1,autotrain,new_round_count,15,4678_0_12_1_2022___12_49__autotrain_day_1.csv
2,4678,0,1,autotrain,output_activated_count,31,4678_0_12_1_2022___12_49__autotrain_day_1.csv
3,4678,0,1,autotrain,tone_start_round_start_count,15,4678_0_12_1_2022___12_49__autotrain_day_1.csv
4,4678,0,1,autotrain,output_deactivated_count,32,4678_0_12_1_2022___12_49__autotrain_day_1.csv
5,4678,0,1,autotrain,tone_stop_round_start_count,15,4678_0_12_1_2022___12_49__autotrain_day_1.csv
6,4678,0,1,autotrain,lever_extended_food_count,15,4678_0_12_1_2022___12_49__autotrain_day_1.csv
7,4678,0,1,autotrain,tone_start_pellet_tone_count,15,4678_0_12_1_2022___12_49__autotrain_day_1.csv
8,4678,0,1,autotrain,lever_retracted_food_count,15,4678_0_12_1_2022___12_49__autotrain_day_1.csv
9,4678,0,1,autotrain,pellet_dispense_dispenser_count,14,4678_0_12_1_2022___12_49__autotrain_day_1.csv
10,4678,0,1,autotrain,tone_stop_pellet_tone_count,15,4678_0_12_1_2022___12_49__autotrain_day_1.csv
11,4678,0,1,autotrain,pellet_retrieved_count,28,4678_0_12_1_2022___12_49__autotrain_day_1.csv
12,4678,0,1,autotrain,lever_pressed_food_count,2,4678_0_12_1_2022___12_49__autotrain_day_1.csv
13,4678,0,1,autotrain,lever_extended_food_|_lever_pressed_food_count,2,4678_0_12_1_2022___12_49__autotrain_day_1.csv
14,4678,0,1,autotrain,presses_reached_food_count,2,4678_0_12_1_2022___12_49__autotrain_day_1.csv
15,4678,0,1,autotrain,lever_press_food_count,2,4678_0_12_1_2022___12_49__autotrain_day_1.csv
16,4678,0,1,autotrain,pellet_not_retrieved_dispenser_count,1,4678_0_12_1_2022___12_49__autotrain_day_1.csv
17,4678,0,1,autotrain,pellet_skipped_dispenser_count,1,4678_0_12_1_2022___12_49__autotrain_day_1.csv
18,4678,0,1,autotrain,pellet_retrieved_latency_mean,18.98407,4678_0_12_1_2022___12_49__autotrain_day_1.csv
19,4678,0,1,autotrain,pellet_retrieved_latency_median,7.442,4678_0_12_1_2022___12_49__autotrain_day_1.csv
20,4678,0,1,autotrain,lever_extended_food_|_lever_pressed_food_latency_mean,30.5935,4678_0_12_1_2022___12_49__autotrain_day_1.csv
21,4678,0,1,autotrain,lever_extended_food_|_lever_pressed_food_latency_median,30.5935,4678_0_12_1_2022___12_49__autotrain_day_1.csv
22,4678,0,1,autotrain,presses_reached_food_latency_mean,30.5935,4678_0_12_1_2022___12_49__autotrain_day_1.csv
23,4678,0,1,autotrain,presses_reached_food_latency_median,30.5935,4678_0_12_1_2022___12_49__autotrain_day_1.csv
0,4678,0,2,autotrain,trigger_count,1,4678_0_12_2_2022___10_52__autotrain_day_2.csv
1,4678,0,2,autotrain,new_round_count,15,4678_0_12_2_2022___10_52__autotrain_day_2.csv
2,4678,0,2,autotrain,output_activated_count,28,4678_0_12_2_2022___10_52__autotrain_day_2.csv
3,4678,0,2,autotrain,tone_start_round_start_count,15,4678_0_12_2_2022___10_52__autotrain_day_2.csv
4,4678,0,2,autotrain,output_deactivated_count,29,4678_0_12_2_2022___10_52__autotrain_day_2.csv
5,4678,0,2,autotrain,tone_stop_round_start_count,15,4678_0_12_2_2022___10_52__autotrain_day_2.csv
6,4678,0,2,autotrain,lever_extended_food_count,15,4678_0_12_2_2022___10_52__autotrain_day_2.csv
7,4678,0,2,autotrain,tone_start_pellet_tone_count,15,4678_0_12_2_2022___10_52__autotrain_day_2.csv
8,4678,0,2,autotrain,lever_retracted_food_count,15,4678_0_12_2_2022___10_52__autotrain_day_2.csv
9,4678,0,2,autotrain,tone_stop_pellet_tone_count,15,4678_0_12_2_2022___10_52__autotrain_day_2.csv
10,4678,0,2,autotrain,pellet_dispense_dispenser_count,13,4678_0_12_2_2022___10_52__autotrain_day_2.csv
11,4678,0,2,autotrain,pellet_retrieved_count,26,4678_0_12_2_2022___10_52__autotrain_day_2.csv
12,4678,0,2,autotrain,pellet_not_retrieved_dispenser_count,2,4678_0_12_2_2022___10_52__autotrain_day_2.csv
13,4678,0,2,autotrain,pellet_skipped_dispenser_count,2,4678_0_12_2_2022___10_52__autotrain_day_2.csv
14,4678,0,2,autotrain,pellet_retrieved_latency_mean,24.35977,4678_0_12_2_2022___10_52__autotrain_day_2.csv
15,4678,0,2,autotrain,pellet_retrieved_latency_median,4.11,4678_0_12_2_2022___10_52__autotrain_day_2.csv
0,4678,0,3,autotrain,trigger_count,1,4678_0_12_5_2022___11_44__autotrain_day_3.csv
1,4678,0,3,autotrain,new_round_count,15,4678_0_12_5_2022___11_44__autotrain_day_3.csv
2,4678,0,3,autotrain,output_activated_count,31,4678_0_12_5_2022___11_44__autotrain_day_3.csv
3,4678,0,3,autotrain,tone_start_round_start_count,15,4678_0_12_5_2022___11_44__autotrain_day_3.csv
4,4678,0,3,autotrain,output_deactivated_count,32,4678_0_12_5_2022___11_44__autotrain_day_3.csv
5,4678,0,3,autotrain,tone_stop_round_start_count,15,4678_0_12_5_2022___11_44__autotrain_day_3.csv
6,4678,0,3,autotrain,lever_extended_food_count,15,4678_0_12_5_2022___11_44__autotrain_day_3.csv
7,4678,0,3,autotrain,tone_start_pellet_tone_count,15,4678_0_12_5_2022___11_44__autotrain_day_3.csv
8,4678,0,3,autotrain,lever_retracted_food_count,15,4678_0_12_5_2022___11_44__autotrain_day_3.csv
9,4678,0,3,autotrain,tone_stop_pellet_tone_count,15,4678_0_12_5_2022___11_44__autotrain_day_3.csv
