round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.0,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.01,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.01,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,0.06,lever_out,lever_out,,,ID:food|,1
1,output_deactivated,0.51,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.02,lever_out,lever_out,,,ID:speaker|,1
1,,4.04,lever_out,lever_out,4.04,,n_presses:1|,1
1,presses_reached_food,4.04,lever_out,lever_out,4.04,,n_presses:1|,1
1,lever_press_food,4.04,lever_out,lever_out,,,ID:event_LED|,1
1,output_activated,4.05,lever_out,lever_out,,,ID:event_LED|,1
1,tone_start_pellet_tone,4.05,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,4.41,lever_out,lever_out,,,ID:event_LED|,1
1,lever_retracted_food,4.7,lever_out,lever_out,,,ID:food|,1
1,tone_stop_pellet_tone,5.06,lever_out,lever_out,,,ID:speaker|,1
1,pellet_not_retrieved_dispenser,7.06,ITI,ITI,,,ID:dispenser|,1
1,pellet_skipped_dispenser,7.06,ITI,ITI,,,ID:dispenser|,1
2,new_round,37.07,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,37.07,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,37.08,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,37.12,lever_out,lever_out,,,ID:food|,2
2,output_deactivated,37.57,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,38.09,lever_out,lever_out,,,ID:speaker|,2
2,,39.38,lever_out,lever_out,2.31,,n_presses:1|,2
2,presses_reached_food,39.38,lever_out,lever_out,2.31,,n_presses:1|,2
2,lever_press_food,39.38,lever_out,lever_out,,,ID:event_LED|,2
2,output_activated,39.38,lever_out,lever_out,,,ID:event_LED|,2
2,tone_start_pellet_tone,39.43,lever_out,lever_out,,,ID:speaker|,2
2,output_deactivated,39.73,lever_out,lever_out,,,ID:event_LED|,2
2,lever_retracted_food,39.98,lever_out,lever_out,,,ID:food|,2
2,tone_stop_pellet_tone,40.44,lever_out,lever_out,,,ID:speaker|,2
2,pellet_not_retrieved_dispenser,42.39,ITI,ITI,,,ID:dispenser|,2
2,pellet_skipped_dispenser,42.39,ITI,ITI,,,ID:dispenser|,2
3,new_round,72.41,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,72.42,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,72.44,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,72.47,lever_out,lever_out,,,ID:food|,3
3,output_deactivated,72.92,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,73.45,lever_out,lever_out,,,ID:speaker|,3
