round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
1,new_round,0.01,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.01,lever_out,lever_out,,,ID:round_LED|,1
1,tone_start_round_start,0.05,lever_out,lever_out,,,ID:speaker|,1
1,lever_extended_food,0.06,lever_out,lever_out,,,ID:food|,1
1,output_deactivated,0.51,lever_out,lever_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.06,lever_out,lever_out,,,ID:speaker|,1
1,,5.22,lever_out,lever_out,5.21,,n_presses:1|,1
1,presses_reached_food,5.22,lever_out,lever_out,5.21,,n_presses:1|,1
1,lever_press_food,5.22,lever_out,lever_out,,,ID:event_LED|,1
1,output_activated,5.22,lever_out,lever_out,,,ID:event_LED|,1
1,tone_start_pellet_tone,5.27,lever_out,lever_out,,,ID:speaker|,1
1,output_deactivated,5.57,lever_out,lever_out,,,ID:event_LED|,1
1,lever_retracted_food,6.27,lever_out,lever_out,,,ID:food|,1
1,tone_stop_pellet_tone,6.28,lever_out,lever_out,,,ID:speaker|,1
1,pellet_not_retrieved_dispenser,8.24,ITI,ITI,,,ID:dispenser|,1
1,pellet_skipped_dispenser,8.24,ITI,ITI,,,ID:dispenser|,1
2,new_round,53.26,lever_out,lever_out,,,ID:round_LED|,2
2,output_activated,53.26,lever_out,lever_out,,,ID:round_LED|,2
2,tone_start_round_start,53.31,lever_out,lever_out,,,ID:speaker|,2
2,lever_extended_food,53.34,lever_out,lever_out,,,ID:food|,2
2,output_deactivated,53.76,lever_out,lever_out,,,ID:round_LED|,2
2,tone_stop_round_start,54.32,lever_out,lever_out,,,ID:speaker|,2
2,lever_retracted_food,113.7,ITI,ITI,,,ID:food|,2
3,new_round,158.28,lever_out,lever_out,,,ID:round_LED|,3
3,output_activated,158.28,lever_out,lever_out,,,ID:round_LED|,3
3,tone_start_round_start,158.29,lever_out,lever_out,,,ID:speaker|,3
3,lever_extended_food,158.36,lever_out,lever_out,,,ID:food|,3
3,output_deactivated,158.78,lever_out,lever_out,,,ID:round_LED|,3
3,tone_stop_round_start,159.29,lever_out,lever_out,,,ID:speaker|,3
3,lever_retracted_food,218.73,ITI,ITI,,,ID:food|,3
