round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.04,NoPhase,NoPhase,,,ID:door_1|,0
0,close_finished_door_1,0.12,NoPhase,NoPhase,,,ID:door_1|,0
0,close_start_door_2,0.13,NoPhase,NoPhase,,,ID:door_2|,0
0,close_finished_door_2,0.15,NoPhase,NoPhase,,,ID:door_2|,0
0,lever_retracted_lever_2,0.55,NoPhase,NoPhase,,,ID:lever_2|,0
0,lever_retracted_lever_1,0.58,NoPhase,NoPhase,,,ID:lever_1|,0
1,new_round,0.67,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.68,levers_out,levers_out,,,ID:round_LED|,1
1,tone_start_round_start,0.7,levers_out,levers_out,,,ID:speaker|,1
1,output_deactivated,1.18,levers_out,levers_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.71,levers_out,levers_out,,,ID:speaker|,1
1,lever_extended_lever_1,2.07,levers_out,levers_out,,,ID:lever_1|,1
1,lever_extended_lever_2,2.07,levers_out,levers_out,,,ID:lever_2|,1
1,,9.0,levers_out,levers_out,7.31,,n_presses:1|,1
1,lever_press,9.0,levers_out,levers_out,,,ID:event_LED|,1
1,output_activated,9.0,levers_out,levers_out,,,ID:event_LED|,1
1,output_deactivated,9.35,levers_out,levers_out,,,ID:event_LED|,1
1,,10.22,levers_out,levers_out,8.53,,n_presses:2|,1
1,presses_reached_lever_1,10.22,levers_out,levers_out,8.53,,n_presses:2|,1
1,lever_press,10.22,levers_out,levers_out,,,ID:event_LED|,1
1,output_activated,10.22,levers_out,levers_out,,,ID:event_LED|,1
1,tone_start_door_2_open,10.25,levers_out,levers_out,,,ID:speaker|,1
1,output_deactivated,10.57,levers_out,levers_out,,,ID:event_LED|,1
1,lever_retracted_lever_2,10.74,levers_out,levers_out,,,ID:lever_2|,1
1,lever_retracted_lever_1,10.78,levers_out,levers_out,,,ID:lever_1|,1
1,tone_stop_door_2_open,11.26,levers_out,levers_out,,,ID:speaker|,1
1,open_start_door_2,13.23,reward_phase,reward_phase,,,ID:door_2|,1
1,open_finished_door_2,14.83,reward_phase,reward_phase,,,ID:door_2|,1
1,door_2_open_|_beam_broken_door2_ir,16.5,reward_phase,reward_phase,3.27,,beam_ID:door2_ir|,1
1,beam_broken_door2_ir,16.5,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_unbroken_door2_ir,16.99,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_broken_door2_ir,18.93,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_unbroken_door2_ir,19.76,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_broken_door2_ir,19.83,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_unbroken_door2_ir,20.05,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_broken_door2_ir,20.89,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_unbroken_door2_ir,21.17,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_broken_door2_ir,21.24,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_unbroken_door2_ir,22.76,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_broken_door2_ir,41.45,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_unbroken_door2_ir,41.54,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_broken_door2_ir,48.27,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_unbroken_door2_ir,48.55,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_broken_door2_ir,49.42,reward_phase,reward_phase,,,ID:door2_ir|,1
1,beam_unbroken_door2_ir,51.51,reward_phase,reward_phase,,,ID:door2_ir|,1
1,close_start_door_2,58.25,reward_phase,reward_phase,,,ID:door_2|,1
1,close_finished_door_2,59.81,reward_phase,reward_phase,,,ID:door_2|,1
