round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.02,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.13,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.15,setup_phase,setup_phase,,,ID:door_2|,0
0,close_finished_door_2,0.4,setup_phase,setup_phase,,,ID:door_2|,0
1,new_round,0.43,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,0.43,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,0.49,lever_2_out,lever_2_out,,,ID:speaker|,1
0,lever_retracted_food,0.51,setup_phase,lever_2_out,,,ID:food|,0
0,lever_retracted_lever_1,0.56,setup_phase,lever_2_out,,,ID:lever_1|,0
0,lever_retracted_lever_2,0.57,setup_phase,lever_2_out,,,ID:lever_2|,0
1,output_deactivated,0.93,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,lever_extended_lever_2,1.28,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,tone_stop_round_start,1.52,lever_2_out,lever_2_out,,,ID:speaker|,1
1,,5.11,lever_2_out,lever_2_out,4.68,,n_presses:1|,1
1,presses_reached_lever_2,5.11,lever_2_out,lever_2_out,4.68,,n_presses:1|,1
1,lever_press,5.11,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,output_activated,5.11,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,tone_start_door_1_open,5.11,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,5.46,lever_2_out,lever_2_out,,,ID:event_LED|,1
1,tone_stop_door_1_open,6.12,lever_2_out,lever_2_out,,,ID:speaker|,1
1,lever_retracted_lever_2,7.39,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,open_start_door_1,9.17,reward_phase,reward_phase,,,ID:door_1|,1
1,open_finished_door_1,10.78,reward_phase,reward_phase,,,ID:door_1|,1
1,door_1_open_|_beam_broken_door1_ir,17.79,reward_phase,reward_phase,8.62,,beam_ID:door1_ir|,1
1,beam_broken_door1_ir,17.79,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,18.49,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,24.77,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_unbroken_door1_ir,24.97,reward_phase,reward_phase,,,ID:door1_ir|,1
1,beam_broken_door1_ir,25.77,reward_phase,reward_phase,,,ID:door1_ir|,1
