round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.01,NoPhase,NoPhase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.02,NoPhase,NoPhase,,,ID:door_1|,0
0,close_finished_door_1,0.03,NoPhase,NoPhase,,,ID:door_1|,0
0,close_start_door_2,0.05,NoPhase,NoPhase,,,ID:door_2|,0
0,close_finished_door_2,0.07,NoPhase,NoPhase,,,ID:door_2|,0
0,lever_retracted_lever_1,0.48,NoPhase,NoPhase,,,ID:lever_1|,0
0,lever_retracted_lever_2,0.48,NoPhase,NoPhase,,,ID:lever_2|,0
0,lever_retracted_food,0.49,NoPhase,NoPhase,,,ID:food|,0
1,new_round,0.58,NoPhase,NoPhase,,,ID:round_LED|,1
1,output_activated,0.58,levers_out,levers_out,,,ID:round_LED|,1
1,tone_start_round_start,0.59,levers_out,levers_out,,,ID:speaker|,1
1,output_deactivated,1.09,levers_out,levers_out,,,ID:round_LED|,1
1,tone_stop_round_start,1.6,levers_out,levers_out,,,ID:speaker|,1
1,lever_extended_lever_1,2.38,levers_out,levers_out,,,ID:lever_1|,1
1,lever_extended_lever_2,2.39,levers_out,levers_out,,,ID:lever_2|,1
1,,3.29,levers_out,levers_out,1.68,,n_presses:1|,1
1,presses_reached_lever_1,3.29,levers_out,levers_out,1.68,,n_presses:1|,1
1,lever_press,3.29,levers_out,levers_out,,,ID:event_LED|,1
1,output_activated,3.29,levers_out,levers_out,,,ID:event_LED|,1
1,tone_start_door_2_open,3.32,levers_out,levers_out,,,ID:speaker|,1
1,output_deactivated,3.64,levers_out,levers_out,,,ID:event_LED|,1
1,lever_retracted_lever_2,3.74,levers_out,levers_out,,,ID:lever_2|,1
1,tone_stop_door_2_open,4.33,levers_out,levers_out,,,ID:speaker|,1
1,lever_retracted_lever_1,4.34,levers_out,levers_out,,,ID:lever_1|,1
1,open_start_door_2,6.31,reward_phase,reward_phase,,,ID:door_2|,1
1,open_finished_door_2,7.91,reward_phase,reward_phase,,,ID:door_2|,1
1,close_start_door_2,51.33,reward_phase,reward_phase,,,ID:door_2|,1
1,close_finished_door_2,52.94,reward_phase,reward_phase,,,ID:door_2|,1
