round,event,time,phase initialized,phase submitted,latency,duration,modifiers,round timestamp initialized
0,trigger,0.0,setup_phase,setup_phase,,,ID:miniscope_trigger|,0
0,close_start_door_1,0.01,setup_phase,setup_phase,,,ID:door_1|,0
0,close_finished_door_1,0.01,setup_phase,setup_phase,,,ID:door_1|,0
0,close_start_door_2,0.04,setup_phase,setup_phase,,,ID:door_2|,0
0,lever_retracted_food,0.51,setup_phase,setup_phase,,,ID:food|,0
0,lever_retracted_lever_1,0.52,setup_phase,setup_phase,,,ID:lever_1|,0
0,lever_retracted_lever_2,0.54,setup_phase,setup_phase,,,ID:lever_2|,0
0,close_failure_door_2,5.06,setup_phase,setup_phase,,,ID:door_2|,0
1,new_round,5.08,setup_phase,setup_phase,,,ID:round_LED|,1
1,output_activated,5.08,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,tone_start_round_start,5.1,lever_2_out,lever_2_out,,,ID:speaker|,1
1,output_deactivated,5.59,lever_2_out,lever_2_out,,,ID:round_LED|,1
1,lever_extended_lever_2,5.84,lever_2_out,lever_2_out,,,ID:lever_2|,1
1,tone_stop_round_start,6.1,lever_2_out,lever_2_out,,,ID:speaker|,1
