,vole1,vole2,day,experiment,metric,value,file
0,5119,0,1,magazine,trigger_count,1,5119_0_10_17_2022___16_50__magazine_day_1.csv
1,5119,0,1,magazine,new_round_count,1,5119_0_10_17_2022___16_50__magazine_day_1.csv
2,5119,0,1,magazine,output_activated_count,2,5119_0_10_17_2022___16_50__magazine_day_1.csv
3,5119,0,1,magazine,tone_start_round_start_count,1,5119_0_10_17_2022___16_50__magazine_day_1.csv
4,5119,0,1,magazine,lever_extended_food_count,1,5119_0_10_17_2022___16_50__magazine_day_1.csv
5,5119,0,1,magazine,output_deactivated_count,2,5119_0_10_17_2022___16_50__magazine_day_1.csv
6,5119,0,1,magazine,tone_stop_round_start_count,1,5119_0_10_17_2022___16_50__magazine_day_1.csv
7,5119,0,1,magazine,tone_start_pellet_tone_count,1,5119_0_10_17_2022___16_50__magazine_day_1.csv
8,5119,0,1,magazine,tone_stop_pellet_tone_count,1,5119_0_10_17_2022___16_50__magazine_day_1.csv
9,5119,0,1,magazine,lever_retracted_food_count,1,5119_0_10_17_2022___16_50__magazine_day_1.csv
10,5119,0,1,magazine,pellet_retrieved_count,2,5119_0_10_17_2022___16_50__magazine_day_1.csv
11,5119,0,1,magazine,pellet_retrieved_latency_mean,6.74,5119_0_10_17_2022___16_50__magazine_day_1.csv
12,5119,0,1,magazine,pellet_retrieved_latency_median,6.74,5119_0_10_17_2022___16_50__magazine_day_1.csv
0,5119,0,1,magazine,trigger_count,1,5119_0_10_17_2022___17_4__magazine_day_1.csv
1,5119,0,1,magazine,new_round_count,20,5119_0_10_17_2022___17_4__magazine_day_1.csv
2,5119,0,1,magazine,output_activated_count,21,5119_0_10_17_2022___17_4__magazine_day_1.csv
3,5119,0,1,magazine,tone_start_round_start_count,20,5119_0_10_17_2022___17_4__magazine_day_1.csv
4,5119,0,1,magazine,lever_extended_food_count,20,5119_0_10_17_2022___17_4__magazine_day_1.csv
5,5119,0,1,magazine,output_deactivated_count,22,5119_0_10_17_2022___17_4__magazine_day_1.csv
6,5119,0,1,magazine,tone_stop_round_start_count,20,5119_0_10_17_2022___17_4__magazine_day_1.csv
7,5119,0,1,magazine,tone_start_pellet_tone_count,20,5119_0_10_17_2022___17_4__magazine_day_1.csv
8,5119,0,1,magazine,tone_stop_pellet_tone_count,20,5119_0_10_17_2022___17_4__magazine_day_1.csv
9,5119,0,1,magazine,lever_retracted_food_count,20,5119_0_10_17_2022___17_4__magazine_day_1.csv
10,5119,0,1,magazine,pellet_not_retrieved_dispenser_count,19,5119_0_10_17_2022___17_4__magazine_day_1.csv
11,5119,0,1,magazine,pellet_skipped_dispenser_count,19,5119_0_10_17_2022___17_4__magazine_day_1.csv
12,5119,0,1,magazine,nan_count,0,5119_0_10_17_2022___17_4__magazine_day_1.csv
13,5119,0,1,magazine,presses_reached_food_count,1,5119_0_10_17_2022___17_4__magazine_day_1.csv
14,5119,0,1,magazine,lever_press_count,1,5119_0_10_17_2022___17_4__magazine_day_1.csv
15,5119,0,1,magazine,nan_latency_mean,nan,5119_0_10_17_2022___17_4__magazine_day_1.csv
16,5119,0,1,magazine,nan_latency_median,nan,5119_0_10_17_2022___17_4__magazine_day_1.csv
17,5119,0,1,magazine,presses_reached_food_latency_mean,4.15,5119_0_10_17_2022___17_4__magazine_day_1.csv
18,5119,0,1,magazine,presses_reached_food_latency_median,4.15,5119_0_10_17_2022___17_4__magazine_day_1.csv
0,5119,0,2,magazine,trigger_count,1,5119_0_10_18_2022___12_56__magazine_day_2.csv
1,5119,0,2,magazine,new_round_count,1,5119_0_10_18_2022___12_56__magazine_day_2.csv
2,5119,0,2,magazine,output_activated_count,2,5119_0_10_18_2022___12_56__magazine_day_2.csv
3,5119,0,2,magazine,tone_start_round_start_count,1,5119_0_10_18_2022___12_56__magazine_day_2.csv
4,5119,0,2,magazine,lever_extended_food_count,1,5119_0_10_18_2022___12_56__magazine_day_2.csv
5,5119,0,2,magazine,output_deactivated_count,2,5119_0_10_18_2022___12_56__magazine_day_2.csv
6,5119,0,2,magazine,tone_stop_round_start_count,1,5119_0_10_18_2022___12_56__magazine_day_2.csv
7,5119,0,2,magazine,tone_start_pellet_tone_count,1,5119_0_10_18_2022___12_56__magazine_day_2.csv
8,5119,0,2,magazine,pellet_dispense_dispenser_count,1,5119_0_10_18_2022___12_56__magazine_day_2.csv
9,5119,0,2,magazine,tone_stop_pellet_tone_count,1,5119_0_10_18_2022___12_56__magazine_day_2.csv
10,5119,0,2,magazine,lever_retracted_food_count,1,5119_0_10_18_2022___12_56__magazine_day_2.csv
11,5119,0,2,magazine,pellet_retrieved_count,2,5119_0_10_18_2022___12_56__magazine_day_2.csv
12,5119,0,2,magazine,pellet_retrieved_latency_mean,5.86,5119_0_10_18_2022___12_56__magazine_day_2.csv
13,5119,0,2,magazine,pellet_retrieved_latency_median,5.86,5119_0_10_18_2022___12_56__magazine_day_2.csv
0,5119,0,2,magazine,trigger_count,1,5119_0_10_18_2022___12_57__magazine_day_2.csv
1,5119,0,2,magazine,new_round_count,3,5119_0_10_18_2022___12_57__magazine_day_2.csv
2,5119,0,2,magazine,output_activated_count,3,5119_0_10_18_2022___12_57__magazine_day_2.csv
3,5119,0,2,magazine,tone_start_round_start_count,3,5119_0_10_18_2022___12_57__magazine_day_2.csv
4,5119,0,2,magazine,lever_extended_food_count,3,5119_0_10_18_2022___12_57__magazine_day_2.csv
5,5119,0,2,magazine,output_deactivated_count,3,5119_0_10_18_2022___12_57__magazine_day_2.csv
6,5119,0,2,magazine,tone_stop_round_start_count,3,5119_0_10_18_2022___12_57__magazine_day_2.csv
7,5119,0,2,magazine,tone_start_pellet_tone_count,3,5119_0_10_18_2022___12_57__magazine_day_2.csv
8,5119,0,2,magazine,tone_stop_pellet_tone_count,3,5119_0_10_18_2022___12_57__magazine_day_2.csv
9,5119,0,2,magazine,lever_retracted_food_count,3,5119_0_10_18_2022___12_57__magazine_day_2.csv
10,5119,0,2,magazine,pellet_dispense_dispenser_count,1,5119_0_10_18_2022___12_57__magazine_day_2.csv
11,5119,0,2,magazine,pellet_not_retrieved_dispenser_count,1,5119_0_10_18_2022___12_57__magazine_day_2.csv
12,5119,0,2,magazine,pellet_skipped_dispenser_count,1,5119_0_10_18_2022___12_57__magazine_day_2.csv
0,5119,0,2,magazine,trigger_count,1,5119_0_10_18_2022___13_10__magazine_day_2.csv
1,5119,0,2,magazine,new_round_count,20,5119_0_10_18_2022___13_10__magazine_day_2.csv
2,5119,0,2,magazine,output_activated_count,36,5119_0_10_18_2022___13_10__magazine_day_2.csv
3,5119,0,2,magazine,tone_start_round_start_count,20,5119_0_10_18_2022___13_10__magazine_day_2.csv
4,5119,0,2,magazine,lever_extended_food_count,20,5119_0_10_18_2022___13_10__magazine_day_2.csv
5,5119,0,2,magazine,output_deactivated_count,37,5119_0_10_18_2022___13_10__magazine_day_2.csv
6,5119,0,2,magazine,tone_stop_round_start_count,20,5119_0_10_18_2022___13_10__magazine_day_2.csv
7,5119,0,2,magazine,tone_start_pellet_tone_count,20,5119_0_10_18_2022___13_10__magazine_day_2.csv
8,5119,0,2,magazine,tone_stop_pellet_tone_count,20,5119_0_10_18_2022___13_10__magazine_day_2.csv
9,5119,0,2,magazine,pellet_dispense_dispenser_count,17,5119_0_10_18_2022___13_10__magazine_day_2.csv
10,5119,0,2,magazine,lever_retracted_food_count,20,5119_0_10_18_2022___13_10__magazine_day_2.csv
11,5119,0,2,magazine,pellet_not_retrieved_dispenser_count,3,5119_0_10_18_2022___13_10__magazine_day_2.csv
12,5119,0,2,magazine,pellet_skipped_dispenser_count,3,5119_0_10_18_2022___13_10__magazine_day_2.csv
13,5119,0,2,magazine,pellet_retrieved_count,32,5119_0_10_18_2022___13_10__magazine_day_2.csv
14,5119,0,2,magazine,pellet_retrieved_latency_mean,33.1225,5119_0_10_18_2022___13_10__magazine_day_2.csv
15,5119,0,2,magazine,pellet_retrieved_latency_median,22.425,5119_0_10_18_2022___13_10__magazine_day_2.csv
0,5119,0,2,magazine,trigger_count,1,5119_0_10_18_2022___13_1__magazine_day_2.csv
1,5119,0,2,magazine,new_round_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
2,5119,0,2,magazine,output_activated_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
3,5119,0,2,magazine,tone_start_round_start_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
4,5119,0,2,magazine,lever_extended_food_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
5,5119,0,2,magazine,output_deactivated_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
6,5119,0,2,magazine,tone_stop_round_start_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
7,5119,0,2,magazine,tone_start_pellet_tone_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
8,5119,0,2,magazine,tone_stop_pellet_tone_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
9,5119,0,2,magazine,lever_retracted_food_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
10,5119,0,2,magazine,pellet_dispense_failure_dispenser_count,2,5119_0_10_18_2022___13_1__magazine_day_2.csv
0,5119,0,2,magazine,trigger_count,1,5119_0_10_18_2022___13_2__magazine_day_2.csv
1,5119,0,2,magazine,new_round_count,1,5119_0_10_18_2022___13_2__magazine_day_2.csv
2,5119,0,2,magazine,output_activated_count,2,5119_0_10_18_2022___13_2__magazine_day_2.csv
3,5119,0,2,magazine,tone_start_round_start_count,1,5119_0_10_18_2022___13_2__magazine_day_2.csv
4,5119,0,2,magazine,lever_extended_food_count,1,5119_0_10_18_2022___13_2__magazine_day_2.csv
5,5119,0,2,magazine,output_deactivated_count,2,5119_0_10_18_2022___13_2__magazine_day_2.csv
6,5119,0,2,magazine,tone_stop_round_start_count,1,5119_0_10_18_2022___13_2__magazine_day_2.csv
7,5119,0,2,magazine,tone_start_pellet_tone_count,1,5119_0_10_18_2022___13_2__magazine_day_2.csv
8,5119,0,2,magazine,tone_stop_pellet_tone_count,1,5119_0_10_18_2022___13_2__magazine_day_2.csv
9,5119,0,2,magazine,pellet_dispense_dispenser_count,1,5119_0_10_18_2022___13_2__magazine_day_2.csv
10,5119,0,2,magazine,lever_retracted_food_count,1,5119_0_10_18_2022___13_2__magazine_day_2.csv
11,5119,0,2,magazine,pellet_retrieved_count,2,5119_0_10_18_2022___13_2__magazine_day_2.csv
12,5119,0,2,magazine,pellet_retrieved_latency_mean,12.24,5119_0_10_18_2022___13_2__magazine_day_2.csv
13,5119,0,2,magazine,pellet_retrieved_latency_median,12.24,5119_0_10_18_2022___13_2__magazine_day_2.csv
0,5119,0,3,magazine,trigger_count,1,5119_0_10_19_2022___8_58__magazine_day_3.csv
1,5119,0,3,magazine,new_round_count,20,5119_0_10_19_2022___8_58__magazine_day_3.csv
2,5119,0,3,magazine,output_activated_count,39,5119_0_10_19_2022___8_58__magazine_day_3.csv
3,5119,0,3,magazine,tone_start_round_start_count,20,5119_0_10_19_2022___8_58__magazine_day_3.csv
4,5119,0,3,magazine,lever_extended_food_count,20,5119_0_10_19_2022___8_58__magazine_day_3.csv
5,5119,0,3,magazine,output_deactivated_count,40,5119_0_10_19_2022___8_58__magazine_day_3.csv
6,5119,0,3,magazine,tone_stop_round_start_count,20,5119_0_10_19_2022___8_58__magazine_day_3.csv
7,5119,0,3,magazine,tone_start_pellet_tone_count,20,5119_0_10_19_2022___8_58__magazine_day_3.csv
8,5119,0,3,magazine,tone_stop_pellet_tone_count,20,5119_0_10_19_2022___8_58__magazine_day_3.csv
9,5119,0,3,magazine,lever_retracted_food_count,20,5119_0_10_19_2022___8_58__magazine_day_3.csv
